region,shrine_name,raw_address,combined_address,resolved_address,latitude,longitude,status,ownership_raw,ownership_standardized,validated_address_ko,validated_road_address_ko,validated_jibun_address_ko,address_validation_status,address_validation_source
구좌읍,동복리 본향 굴묵밧할망당,동복리1 759,구좌읍 동복리1 759,"1759 Dongbok-ri, Gujwa-eup, Cheju, Jeju-do, South Korea",33.5494717,126.7170891,resolved,국가,국가,제주특별자치도 제주시 구좌읍 동복리 863,NULL,제주특별자치도 제주시 구좌읍 동복리 863,validated,kakao_coord2address
구좌읍,김녕 본향 사장빌레큰당,김녕리 21 21,구좌읍 김녕리 21 21,"2121 Gimnyeong-ri, Gujwa-eup, Cheju, Jeju-do, South Korea",33.5507592,126.752818,resolved,국가,국가,제주특별자치도 제주시 구좌읍 김녕리 1771,NULL,제주특별자치도 제주시 구좌읍 김녕리 1771,validated,kakao_coord2address
구좌읍,동김녕 궤눼깃당,김녕리 21 21,구좌읍 김녕리 21 21,"2121 Gimnyeong-ri, Gujwa-eup, Cheju, Jeju-do, South Korea",33.5507592,126.752818,resolved,국가,국가,제주특별자치도 제주시 구좌읍 김녕리 1771,NULL,제주특별자치도 제주시 구좌읍 김녕리 1771,validated,kakao_coord2address
구좌읍,동김녕리 성세깃당,김녕리 571 -2,구좌읍 김녕리 571 -2,제주특별자치도 제주시 구좌읍 김녕리 571-2,33.5544632469139,126.758761317173,resolved,제주도,국가,제주특별자치도 제주시 구좌읍 김녕리 571-2,NULL,제주특별자치도 제주시 구좌읍 김녕리 571-2,validated,kakao_coord2address
구좌읍,서김녕 본향 노모리동산 일뤠당,김녕리 3417,구좌읍 김녕리 3417,제주특별자치도 제주시 구좌읍 김녕리 3417,33.5548687680039,126.742895199401,resolved,개인,개인,제주특별자치도 제주시 구좌읍 김녕리 3417,NULL,제주특별자치도 제주시 구좌읍 김녕리 3417,validated,kakao_coord2address
구좌읍,서김녕리 서문하르방당,NULL,NULL,NULL,NULL,NULL,unresolved,-,미상,NULL,NULL,NULL,unresolved,kakao_coord2address
구좌읍,월정 본향 서당머체큰당,월정리 1 79-8,구좌읍 월정리 1 79-8,"179-8 Woljeong-ri, Gujwa-eup, Cheju, Jeju-do, South Korea",33.5487733,126.7930352,resolved,제주도,국가,제주특별자치도 제주시 구좌읍 월정리 179-8,NULL,제주특별자치도 제주시 구좌읍 월정리 179-8,validated,kakao_coord2address
구좌읍,월정리 서당,NULL,NULL,NULL,NULL,NULL,unresolved,NULL,미상,NULL,NULL,NULL,unresolved,kakao_coord2address
구좌읍,월정리 베롱개 해신당,월정리 774-4,구좌읍 월정리 774-4,제주특별자치도 제주시 구좌읍 월정리 774-4,33.5603114929672,126.790918369389,resolved,국가,국가,제주특별자치도 제주시 구좌읍 월정리 774-4,NULL,제주특별자치도 제주시 구좌읍 월정리 774-4,validated,kakao_coord2address
구좌읍,행원리 본향 큰당,행원리 573-6,구좌읍 행원리 573-6,제주특별자치도 제주시 구좌읍 행원리 573-6,33.5590931897547,126.813803167503,resolved,제주도,국가,제주특별자치도 제주시 구좌읍 행원리 573-6,NULL,제주특별자치도 제주시 구좌읍 행원리 573-6,validated,kakao_coord2address
구좌읍,행원리 남당,NULL,NULL,NULL,NULL,NULL,unresolved,-,미상,NULL,NULL,NULL,unresolved,kakao_coord2address
구좌읍,한동 본향 괴로본산국당,한동리 21 23,구좌읍 한동리 21 23,"2123 Handong-ri, Gujwa-eup, Cheju, Jeju-do, South Korea",33.5296553,126.819512,resolved,개인,개인,제주특별자치도 제주시 구좌읍 한동리 2123,NULL,제주특별자치도 제주시 구좌읍 한동리 2123,validated,kakao_coord2address
구좌읍,한동 망애물 해신당,한동리 1 387-2,구좌읍 한동리 1 387-2,"1387-2 Handong-ri, Gujwa-eup, Cheju, Jeju-do, South Korea",33.5429614,126.8287006,resolved,국가,국가,NULL,NULL,NULL,unresolved,kakao_coord2address
구좌읍,평대 본향 신선백관 하르방당,한동리 656,구좌읍 한동리 656,제주특별자치도 제주시 구좌읍 한동리 656,33.5249880112787,126.828446664406,resolved,"개인, 공동",공동,제주특별자치도 제주시 구좌읍 한동리 656,NULL,제주특별자치도 제주시 구좌읍 한동리 656,validated,kakao_coord2address
구좌읍,평대(서동) 본향수대깃당,한동리 656,구좌읍 한동리 656,제주특별자치도 제주시 구좌읍 한동리 656,33.5249880112787,126.828446664406,resolved,"개인, 공동",공동,제주특별자치도 제주시 구좌읍 한동리 656,NULL,제주특별자치도 제주시 구좌읍 한동리 656,validated,kakao_coord2address
구좌읍,평대(동동) 수대깃당,평대리 975,구좌읍 평대리 975,제주특별자치도 제주시 구좌읍 평대리 975,33.5244887046808,126.84363465615,resolved,개인,개인,제주특별자치도 제주시 구좌읍 평대리 975,NULL,제주특별자치도 제주시 구좌읍 평대리 975,validated,kakao_coord2address
구좌읍,평대리 갯마리 일뤠당,NULL,NULL,NULL,NULL,NULL,unresolved,NULL,미상,NULL,NULL,NULL,unresolved,kakao_coord2address
구좌읍,세화리 본향 천자또 산신당,세화리 1 049-2,구좌읍 세화리 1 049-2,"1049-2 Saehwa-ri, Gujwa-eup, Cheju, Jeju-do, South Korea",33.5144228,126.8545364,resolved,개인,개인,제주특별자치도 제주시 구좌읍 세화리 1049-2,NULL,제주특별자치도 제주시 구좌읍 세화리 1049-2,validated,kakao_coord2address
구좌읍,세화리 고는곶 일뤠,세화리 1 049-2,구좌읍 세화리 1 049-2,"1049-2 Saehwa-ri, Gujwa-eup, Cheju, Jeju-do, South Korea",33.5144228,126.8545364,resolved,개인,개인,제주특별자치도 제주시 구좌읍 세화리 1049-2,NULL,제주특별자치도 제주시 구좌읍 세화리 1049-2,validated,kakao_coord2address
구좌읍,세화리 갯것할망당,NULL,NULL,NULL,NULL,NULL,unresolved,NULL,미상,NULL,NULL,NULL,unresolved,kakao_coord2address
구좌읍,상도리 본향 막음질 일뤠할망당,상도리 202,구좌읍 상도리 202,제주특별자치도 제주시 구좌읍 상도리 202,33.5082899525198,126.869438545972,resolved,제주도,국가,제주특별자치도 제주시 구좌읍 상도리 202,NULL,제주특별자치도 제주시 구좌읍 상도리 202,validated,kakao_coord2address
구좌읍,하도리 본향 삼싱불도할망당,하도리 2884,구좌읍 하도리 2884,제주특별자치도 제주시 구좌읍 하도리 2884,33.5234766276036,126.876485455772,resolved,개인,개인,제주특별자치도 제주시 구좌읍 하도리 2884,NULL,제주특별자치도 제주시 구좌읍 하도리 2884,validated,kakao_coord2address
구좌읍,하도리 각시당,하도리 450-3,구좌읍 하도리 450-3,제주특별자치도 제주시 구좌읍 하도리 450-3,33.5266837931548,126.891908356697,resolved,국가,국가,제주특별자치도 제주시 구좌읍 하도리 450-3,NULL,제주특별자치도 제주시 구좌읍 하도리 450-3,validated,kakao_coord2address
구좌읍,하도리 남당,하도리 1 778,구좌읍 하도리 1 778,"1778 Hado-ri, Gujwa-eup, Cheju, Jeju-do, South Korea",33.5258658,126.8841999,resolved,제주도,국가,제주특별자치도 제주시 구좌읍 하도리 1778,NULL,제주특별자치도 제주시 구좌읍 하도리 1778,validated,kakao_coord2address
구좌읍,하도리 면수동 본향 여씨불도할망당,하도리 3359-1 9,구좌읍 하도리 3359-1 9,"3359-1 Hado-ri, Gujwa-eup, Cheju, Jeju-do, South Korea",33.5249131,126.8656877,resolved,마을,미상,제주특별자치도 제주시 구좌읍 면수길 52,제주특별자치도 제주시 구좌읍 면수길 52,제주특별자치도 제주시 구좌읍 하도리 3359-1,validated,kakao_coord2address
구좌읍,종달 본향 오막개당,종달리 70,구좌읍 종달리 70,제주특별자치도 제주시 구좌읍 종달리 70,33.5051525459574,126.909931711024,resolved,제주도,국가,제주특별자치도 제주시 구좌읍 종달리 70,NULL,제주특별자치도 제주시 구좌읍 종달리 70,validated,kakao_coord2address
구좌읍,종달리 조개왓 틀목 일뤠당,종달리 71 2-1,구좌읍 종달리 71 2-1,"71 Jongdal-ri, Gujwa-eup, Cheju, Jeju-do, South Korea",33.5053014,126.9100125,resolved,개인,개인,제주특별자치도 제주시 구좌읍 종달리 71,NULL,제주특별자치도 제주시 구좌읍 종달리 71,validated,kakao_coord2address
구좌읍,종달리 생개납 돈짓당,NULL,NULL,NULL,NULL,NULL,unresolved,NULL,미상,NULL,NULL,NULL,unresolved,kakao_coord2address
구좌읍,송당리 본향 웃손당 당오름 백주할망당,송당리 산 1 99-1,구좌읍 송당리 산 1 99-1,"산199-1 Songdang-ri, Gujwa-eup, Cheju, Jeju-do, South Korea",33.4672277,126.7771789,resolved,마을,미상,제주특별자치도 제주시 구좌읍 송당리 산 200,NULL,제주특별자치도 제주시 구좌읍 송당리 산 200,validated,kakao_coord2address
구좌읍,송당리 상덕천 체오름 일뤠당,NULL,NULL,NULL,NULL,NULL,unresolved,개인,개인,NULL,NULL,NULL,unresolved,kakao_coord2address
