No.,지역,신당명,주소,NOTES,소유권,상태,지목,비고
164,옛 제주시,도남동 본향 백질당,도남동 586,,"개인, 공동",,전,제주시 거주
165,옛 제주시,건입동 본향 산지 칠머리당,건입동 387-12,GPS 오류,제주도,,임야,
166,옛 제주시,화북1 동 윤동지영감당,화북1 동 1 392,,개인,,전,제주시 거주
167,옛 제주시,화북동 본향 가릿당,화북동 1888,,마을,,잡종 지,제주시화 북1 동 동마을 복지회
168,옛 제주시,삼양1 동 본향 물머리엉덕웃박 감낭하르방․ 할망당,삼양1 동 1 781 -2,,개인,,전,서울거주
169,옛 제주시,삼양2동 본향 당팟할망당,삼양2동 2104-4,어린이공원,제주시,,공원,
170,옛 제주시,도련1 동 본향 당팟 개당,도련1 동 1 529-2,,개인,,대지,제주시 거주
171,옛 제주시,봉개 본향 뒷술당,봉개동 1850,,개인,,과수 원,제주시 거주
172,옛 제주시,봉개동 동회천 본향 새미 하로산당,회천동 1058,,마을,,임야,동회천 마을회
173,옛 제주시,봉개 서회천 본향 는새 남선밧당,회천동 21 08,,"개인, 공동",,과수 원,"제주시, 서귀포시 거주"
174,옛 제주시,영평하동 본향 신당루당,아라동 507-1 ,등기없음,개인,,과수 원,상속
175,옛 제주시,용강 본향 궤당,용강동 1768,,국가,,하천,
176,옛 제주시,월평 본향 다라쿳당,월평동 1 1 37,,"개인, 공동",,임야,제주시 거주
177,우도면,천진동 하느리 돈짓당,연평리 1 737-1 6,등기없음,개인,,대지,"우도거 주,지상 권설정"
178,우도면,서천진동 본향 당동산 종달잇당,연평리 2594,,개인,,전,"우도거 주,증여"
179,우도면,영일동 돈짓당,,해변,-,,,주소 없음
180,우도면,비양동(비양) 돈짓당,연평리 16,,"개인, 공동",,임야,서울거주
181,우도면,상․ 하고수동 성창봉오지돈짓당,,GPS오류,,폐당,,
182,우도면,전흘동 본향 뜬동산 목지당,,"등기없음, 토지대장",,,,
183,우도면,주흥동 중개 돈짓당,"연평리968-1 , 968",,폐쇄 등기,폐당,건물,"건물-멸 실,개인-공동"
184,우도면,하우목동 본향 목지당,연평리 2391 -2,,개인,,대지,"우도거주,상속"
185,우도면,하우목동 돈짓당,연평리 2391 -2,,개인,,대지,"우도거주,상속"
186,추자면,대서리 장군당,,GPS오류,,,,
187,추자면,대서리 당너머 고삿바위,,GPS오류,,,,
188,추자면,영흥리 뒷산 절기미 산신당,,GPS오류,,,,
189,추자면,묵리 당목치동산 처녀당,묵리 731 -5,,마을,,임야,묵리 새마을회
190,추자면,예초리 당목쟁이 물생이끝당,예초리 산7,,마을,,임야,예초리 마을회
191,추자면,예초리 엄바위 장승,예초리 산52,,개인,,임야,예초리 거주
192,추자면,횡간도 마을 성황당,,GPS오류,,,,
